Population Size,Mutation Rate,max_iters,problem_size,t_pct,max_attempts,run_number,group_timestamp,total_runtime,optimal_fitness,max_fitness,total_iterations,max_fevals
500,0.1,10000,10,0.4,50,0,1718999537,0.4661157079972327,15.0,15.0,52,26554.0
500,0.1,10000,10,0.4,50,1,1718999537,0.4524748329713475,15.0,15.0,52,26554.0
500,0.1,10000,10,0.4,50,2,1718999537,0.4596676669898443,15.0,15.0,52,26554.0
500,0.1,10000,30,0.4,150,0,1718999539,1.8173167079803534,47.0,47.0,189,95200.0
500,0.1,10000,30,0.4,150,1,1718999539,1.6087350410234649,47.0,47.0,189,95200.0
500,0.1,10000,30,0.4,150,2,1718999539,1.6116425420041196,47.0,47.0,189,95200.0
500,0.1,10000,50,0.4,250,0,1718999545,3.252348791982513,79.0,50.0,314,157837.0
500,0.1,10000,50,0.4,250,1,1718999545,3.12132120798924,79.0,50.0,314,157837.0
500,0.1,10000,50,0.4,250,2,1718999545,2.979202707996592,79.0,50.0,314,157837.0
500,0.1,10000,100,0.4,500,0,1718999555,7.95467529099551,159.0,100.0,727,364777.0
500,0.1,10000,100,0.4,500,1,1718999555,7.937891125009628,159.0,100.0,727,364777.0
500,0.1,10000,100,0.4,500,2,1718999555,6.918665582983522,159.0,100.0,727,364777.0
500,0.1,10000,200,0.4,1000,0,1718999579,25.754486999998335,319.0,200.0,1693,848788.0
500,0.1,10000,200,0.4,1000,1,1718999579,22.117629042011686,319.0,200.0,1693,848788.0
500,0.1,10000,200,0.4,1000,2,1718999579,21.697859750012867,319.0,200.0,1693,848788.0
500,0.1,10000,500,0.4,2500,0,1718999650,180.52156358299544,799.0,500.0,7730,3873478.0
500,0.1,10000,500,0.4,2500,1,1718999650,145.8576380420127,799.0,500.0,7730,3873478.0
500,0.1,10000,500,0.4,2500,2,1718999650,130.97494112499407,799.0,500.0,7730,3873478.0
