Temperature,max_iters,problem_size,t_pct,decay_type,max_attempts,run_number,group_timestamp,total_runtime,optimal_fitness,max_fitness,total_iterations,max_fevals
10,10000,10,0.4,ExpDecay,1000000000.0,0,1718999533,8.007864583021728,15.0,15.0,10000,11992.0
10,10000,10,0.4,ExpDecay,1000000000.0,1,1718999533,8.119632041984005,15.0,15.0,10000,11992.0
10,10000,10,0.4,ExpDecay,1000000000.0,2,1718999533,8.03359904102399,15.0,15.0,10000,11992.0
10,10000,30,0.4,ExpDecay,1000000000.0,0,1718999558,8.083290000009583,47.0,30.0,10000,12697.0
10,10000,30,0.4,ExpDecay,1000000000.0,1,1718999558,8.075880582997343,47.0,30.0,10000,12697.0
10,10000,30,0.4,ExpDecay,1000000000.0,2,1718999558,8.012579666974489,47.0,30.0,10000,12697.0
10,10000,50,0.4,ExpDecay,1000000000.0,0,1718999584,8.049751915998058,79.0,50.0,10000,12867.0
10,10000,50,0.4,ExpDecay,1000000000.0,1,1718999584,8.057446999999229,79.0,50.0,10000,12867.0
10,10000,50,0.4,ExpDecay,1000000000.0,2,1718999584,8.094140707980841,79.0,50.0,10000,12867.0
10,10000,100,0.4,ExpDecay,1000000000.0,0,1718999609,8.084264000004623,159.0,100.0,10000,15453.0
10,10000,100,0.4,ExpDecay,1000000000.0,1,1718999609,8.085709458013298,159.0,100.0,10000,15453.0
10,10000,100,0.4,ExpDecay,1000000000.0,2,1718999609,8.107036625006003,159.0,100.0,10000,15453.0
10,10000,200,0.4,ExpDecay,1000000000.0,0,1718999635,8.090129124990199,319.0,90.0,10000,18885.0
10,10000,200,0.4,ExpDecay,1000000000.0,1,1718999635,8.131581041991012,319.0,90.0,10000,18885.0
10,10000,200,0.4,ExpDecay,1000000000.0,2,1718999635,8.143072792008752,319.0,90.0,10000,18885.0
10,10000,500,0.4,ExpDecay,1000000000.0,0,1718999661,8.125851792021422,799.0,57.0,10000,19793.0
10,10000,500,0.4,ExpDecay,1000000000.0,1,1718999661,8.116749957989668,799.0,57.0,10000,19793.0
10,10000,500,0.4,ExpDecay,1000000000.0,2,1718999661,8.158864958008053,799.0,57.0,10000,19793.0
