run_number,curve,y_train_accuracy,y_test_accuracy,total_time
0,"[17.33505367 17.33476796 17.33448254 17.33419742 17.33391263 17.3336282
 17.33334417 17.33306057 17.33277744 17.33249481 17.33221274 17.33188164
 17.33149498 17.33110904 17.33063667 17.33014895 17.32966217 17.32917641
 17.32869175 17.32820828 17.32772609 17.32724528 17.32676596 17.32628823
 17.32581221 17.32533801 17.32486575 17.32439557 17.32392758 17.32346191
 17.32299869 17.32253804 17.3220801  17.32162499 17.32117282 17.32072372
 17.32027779 17.31983514 17.31939587 17.31896007 17.31852782 17.31809919
 17.31767425 17.31725305 17.31683565 17.31642208 17.31601237 17.31560654
 17.31520462 17.31480662 17.31441252 17.31402234 17.31363607 17.31325369
 17.31287519 17.31250054 17.31212971 17.31176269 17.31139942 17.31103988
 17.31068401 17.31033178 17.30998314 17.30963802 17.30929638 17.30895816
 17.3086233  17.30829175 17.30796343 17.3076383  17.30731629 17.30699736
 17.30668144 17.3063685  17.30605847 17.30575134 17.30544705 17.30514559
 17.30484692 17.30455104 17.30425792 17.30396756 17.30367996 17.30339512
 17.30311305 17.30283376 17.30255725 17.30228355 17.30201266 17.30174459
 17.30147936 17.30121697 17.30095743 17.30070072 17.30044685 17.30019579
 17.29994752 17.29970201 17.29945922 17.2992191  17.29898161 17.29874666
 17.29851421 17.29828417 17.29805645 17.29783098 17.29760767 17.29738642
 17.29716714 17.29694973 17.29673409 17.29652014 17.29630777 17.29609689
 17.29588579 17.29558287 17.2952812  17.29498069 17.29468126 17.29438283
 17.29408534 17.29378872 17.2934929  17.29319782 17.29290342 17.29260966
 17.29231648 17.29202383 17.29173168 17.29143998 17.29114869 17.29085779
 17.29056723 17.290277   17.28998707 17.2896974  17.28940798 17.28911878
 17.28882979 17.288541   17.28825237 17.2879639  17.28767557 17.28738738
 17.28709931 17.28681135 17.28652348 17.28623571 17.28594803 17.28566042
 17.28537288 17.2850854  17.28479798 17.28451061 17.28422329 17.28393602
 17.28364879 17.28336159 17.28307443 17.28278729 17.28250019 17.28221311
 17.28192605 17.28163901 17.281352   17.281065   17.28077802 17.28049105
 17.2802041  17.27991715 17.27963022 17.2793433  17.27905639 17.27876949
 17.2784826  17.27819571 17.27790883 17.27762196 17.27733509 17.27704823
 17.27676137 17.27647452 17.27618767 17.27590083 17.27561399 17.27532716
 17.27504033 17.2747535  17.27446668 17.27417986 17.27389304 17.27360623
 17.27331942 17.27303262 17.27274581 17.27245902 17.27217223 17.27188544
 17.27159866 17.27131188]",0.515625,0.48125,11.723537132995261
1,"[18.38612338 18.38622397 18.38637214 18.38657865 18.38684927 18.38718237
 18.38756966 18.38799939 18.38845975 18.38894099 18.38943592 18.38993965
 18.39044906 18.39096228 18.39147832 18.39199689 18.39251829 18.39304351
 18.39357439 18.39411398 18.394667   18.39524031 18.39584317 18.39648668
 18.39718191 18.39793678 18.39836246 18.39871897 18.39912228 18.39956096
 18.40002461 18.40050503 18.40099637 18.40149465 18.40199728 18.40250262
 18.40300964 18.40351768 18.40402636 18.40453544 18.40504475 18.4055542
 18.40606375 18.40657336 18.40708299 18.40759265 18.40810232 18.408612
 18.40912168 18.40963137 18.41014106 18.41065075 18.41116044 18.41167013
 18.41217982 18.41268951 18.4131992  18.41370889 18.41421858 18.41472827
 18.41523796 18.41574765 18.41625734 18.41676703 18.41727672 18.41778641
 18.4182961  18.4188058  18.41931549 18.41982518 18.42033487 18.42084456
 18.42135425 18.42186394 18.42237363 18.42288332 18.42339301 18.4239027
 18.42441239 18.42492209 18.42543178 18.42594147 18.42645117 18.42696086
 18.42747056 18.42798027 18.42848999 18.42899973 18.42950949 18.43001931
 18.4305292  18.43103922 18.43154945 18.43206002 18.43257116 18.43308322
 18.43359679 18.4341128  18.43463278 18.43487019]",0.48854166666666665,0.46875,5.031245473997842
2,"[18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669 18.02182669
 18.02182669 18.02182669 18.02182669 18.02182669]",0.5,0.5,5.769877134996932
