Population Size,Mutation Rate,max_iters,problem_size,max_attempts,run_number,group_timestamp,total_runtime,num_edges,optimal_fitness,max_fitness,total_iterations,max_fevals
10,0.1,1000,100,100,0,1719183144,5.461582541000098,100.0,294,258.0,601,6655.0
10,0.1,1000,100,100,1,1719183144,4.930236916989088,100.0,294,258.0,601,6655.0
10,0.1,1000,100,100,2,1719183144,4.646607041999232,100.0,294,258.0,601,6655.0
20,0.1,1000,100,100,0,1719183160,12.164643000054639,100.0,294,275.0,936,19728.0
20,0.1,1000,100,100,1,1719183160,8.665973458031658,100.0,294,275.0,936,19728.0
20,0.1,1000,100,100,2,1719183160,15.637504666985478,100.0,294,275.0,936,19728.0
50,0.1,1000,100,100,0,1719183197,30.703688375011552,100.0,294,280.0,752,38448.0
50,0.1,1000,100,100,1,1719183197,12.261319167038891,100.0,294,280.0,752,38448.0
50,0.1,1000,100,100,2,1719183197,28.86912670795573,100.0,294,280.0,752,38448.0
100,0.1,1000,100,100,0,1719183270,30.83599808299914,100.0,294,280.0,421,42660.0
100,0.1,1000,100,100,1,1719183270,33.83176375000039,100.0,294,280.0,421,42660.0
100,0.1,1000,100,100,2,1719183270,33.33988133398816,100.0,294,280.0,421,42660.0
10,0.3,1000,100,100,0,1719183369,3.442224625032395,100.0,294,275.0,757,8389.0
10,0.3,1000,100,100,1,1719183369,6.569647792028263,100.0,294,275.0,757,8389.0
10,0.3,1000,100,100,2,1719183369,4.455327375035267,100.0,294,275.0,757,8389.0
20,0.3,1000,100,100,0,1719183385,11.879418707976583,100.0,294,279.0,736,15527.0
20,0.3,1000,100,100,1,1719183385,12.126920833950862,100.0,294,279.0,736,15527.0
20,0.3,1000,100,100,2,1719183385,9.033116208040155,100.0,294,279.0,736,15527.0
50,0.3,1000,100,100,0,1719183419,24.326736957998946,100.0,294,284.0,630,32224.0
50,0.3,1000,100,100,1,1719183419,21.73180050001247,100.0,294,284.0,630,32224.0
50,0.3,1000,100,100,2,1719183419,25.187680165981874,100.0,294,284.0,630,32224.0
100,0.3,1000,100,100,0,1719183491,32.28262700000778,100.0,294,289.0,556,56302.0
100,0.3,1000,100,100,1,1719183491,43.73182512499625,100.0,294,289.0,556,56302.0
100,0.3,1000,100,100,2,1719183491,41.572864832996856,100.0,294,289.0,556,56302.0
10,0.5,1000,100,100,0,1719183610,4.060938207956497,100.0,294,275.0,633,7024.0
10,0.5,1000,100,100,1,1719183610,5.521668750036042,100.0,294,275.0,633,7024.0
10,0.5,1000,100,100,2,1719183610,4.388833042001352,100.0,294,275.0,633,7024.0
20,0.5,1000,100,100,0,1719183625,12.246107083978131,100.0,294,284.0,816,17212.0
20,0.5,1000,100,100,1,1719183625,7.542664791981224,100.0,294,284.0,816,17212.0
20,0.5,1000,100,100,2,1719183625,13.469398749992251,100.0,294,284.0,816,17212.0
50,0.5,1000,100,100,0,1719183659,24.428124625002965,100.0,294,284.0,617,31562.0
50,0.5,1000,100,100,1,1719183659,24.542918083025143,100.0,294,284.0,617,31562.0
50,0.5,1000,100,100,2,1719183659,21.651264082989655,100.0,294,284.0,617,31562.0
100,0.5,1000,100,100,0,1719183731,35.37741191702662,100.0,294,289.0,556,56311.0
100,0.5,1000,100,100,1,1719183731,27.796550417027902,100.0,294,289.0,556,56311.0
100,0.5,1000,100,100,2,1719183731,45.128858708019834,100.0,294,289.0,556,56311.0
10,0.7,1000,100,100,0,1719183880,3.5015480419970118,100.0,294,276.0,791,8765.0
10,0.7,1000,100,100,1,1719183880,5.963503499981016,100.0,294,276.0,791,8765.0
10,0.7,1000,100,100,2,1719183880,6.75724716600962,100.0,294,276.0,791,8765.0
20,0.7,1000,100,100,0,1719183897,12.308165374968667,100.0,294,285.0,1000,21073.0
20,0.7,1000,100,100,1,1719183897,16.96400541701587,100.0,294,285.0,1000,21073.0
20,0.7,1000,100,100,2,1719183897,10.37398537498666,100.0,294,285.0,1000,21073.0
50,0.7,1000,100,100,0,1719183938,17.47419199999422,100.0,294,287.0,747,38200.0
50,0.7,1000,100,100,1,1719183938,30.454245333035942,100.0,294,287.0,747,38200.0
50,0.7,1000,100,100,2,1719183938,23.97068158298498,100.0,294,287.0,747,38200.0
100,0.7,1000,100,100,0,1719184011,49.68831733398838,100.0,294,292.0,642,64990.0
100,0.7,1000,100,100,1,1719184011,35.7077090840321,100.0,294,292.0,642,64990.0
100,0.7,1000,100,100,2,1719184011,51.19971366605023,100.0,294,292.0,642,64990.0
