Restarts,max_iters,problem_size,max_attempts,run_number,group_timestamp,total_runtime,optimal_fitness,max_fitness,total_iterations,max_fevals
5,10000,10,50,0,1719205357,0.1351108750095591,24.0,23.0,166,689.0
5,10000,10,50,1,1719205357,0.1168342499877326,24.0,23.0,166,689.0
5,10000,10,50,2,1719205357,0.0884292919654399,24.0,23.0,166,689.0
5,10000,30,150,0,1719205358,1.2073055419605223,84.0,81.0,702,2922.0
5,10000,30,150,1,1719205358,1.265058874967508,84.0,81.0,702,2922.0
5,10000,30,150,2,1719205358,1.3860391250345856,84.0,81.0,702,2922.0
5,10000,50,250,0,1719205363,4.488447375013493,144.0,139.0,1167,5510.0
5,10000,50,250,1,1719205363,4.11425062501803,144.0,139.0,1167,5510.0
5,10000,50,250,2,1719205363,4.352987084013876,144.0,139.0,1167,5510.0
5,10000,100,500,0,1719205377,28.5088021249976,294.0,285.0,4040,17853.0
5,10000,100,500,1,1719205377,38.80675883300137,294.0,285.0,4040,17853.0
5,10000,100,500,2,1719205377,33.66774708300363,294.0,285.0,4040,17853.0
5,10000,200,1000,0,1719205479,243.58485687500797,594.0,575.0,10000,49031.0
5,10000,200,1000,1,1719205479,246.94527729199035,594.0,575.0,10000,49031.0
5,10000,200,1000,2,1719205479,298.92495304200565,594.0,575.0,10000,49031.0
