Temperature,max_iters,problem_size,decay_type,max_attempts,run_number,group_timestamp,total_runtime,optimal_fitness,max_fitness,total_iterations,max_fevals
10,1000,10,ExpDecay,1000,0,1719205768,0.2156258330214768,24.0,23.0,1000,1250.0
10,1000,10,ExpDecay,1000,1,1719205768,0.2056029170053079,24.0,23.0,1000,1250.0
10,1000,10,ExpDecay,1000,2,1719205768,0.2019595419988036,24.0,23.0,1000,1250.0
10,3000,30,ExpDecay,1000,0,1719205769,1.6527533329790458,84.0,83.0,3000,3690.0
10,3000,30,ExpDecay,1000,1,1719205769,1.699656957993284,84.0,83.0,3000,3690.0
10,3000,30,ExpDecay,1000,2,1719205769,1.677269916050136,84.0,83.0,3000,3690.0
10,5000,50,ExpDecay,1000,0,1719205776,4.42822054203134,144.0,142.0,5000,6134.0
10,5000,50,ExpDecay,1000,1,1719205776,4.58987020899076,144.0,142.0,5000,6134.0
10,5000,50,ExpDecay,1000,2,1719205776,4.60582150000846,144.0,142.0,5000,6134.0
10,10000,100,ExpDecay,1000,0,1719205790,18.08138195797801,294.0,290.0,10000,12300.0
10,10000,100,ExpDecay,1000,1,1719205790,18.875252666999582,294.0,290.0,10000,12300.0
10,10000,100,ExpDecay,1000,2,1719205790,18.788710040971637,294.0,290.0,10000,12300.0
10,20000,200,ExpDecay,1000,0,1719205847,77.38828183402075,594.0,584.0,20000,24532.0
10,20000,200,ExpDecay,1000,1,1719205847,78.39135979197454,594.0,584.0,20000,24532.0
10,20000,200,ExpDecay,1000,2,1719205847,75.57058624998899,594.0,584.0,20000,24532.0
